id,user_text,recommendation_title,recommendation_text,category,priority
84,규칙적인 운동을 시작하고 싶어요 체력 저하를 느낌.,작은 목표 설정,하루 목표를 크게 잡기보다 일주일 단위의 작은 실천 목표를 세워보세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.,운동,중
85,"인지훈련 게임이 도움이 될까요? 그리고 독서나 퍼즐 같은 활동을 거의 하지 않음, 새로운 자극이 줄어듦.",새로운 취미 시도,익숙하지 않은 새로운 취미를 배우며 뇌에 자극을 주세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.,인지활동,중
86,사람 만나는 게 귀찮아요 요즘 외출이 드문 편임 편이고 사회적 교류가 부족함도 함께 느껴집니다.,가벼운 외출 계획,"산책, 카페 방문, 근처 장보기처럼 부담이 적은 외출부터 시작해보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.",사회활동,중
87,사람들과 어울리는 게 줄었어요 요즘 사회적 교류가 부족함 편이고 가족이나 친구와 대화 빈도가 적음도 함께 느껴집니다.,가벼운 외출 계획,"산책, 카페 방문, 근처 장보기처럼 부담이 적은 외출부터 시작해보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.",사회활동,중
88,식사를 자주 거릅니다,균형 잡힌 식단,"채소, 단백질, 수분 섭취를 늘리고 가공식품 비중을 줄여보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.",식습관,상
89,독서나 퍼즐을 잘 안 하게 돼요 집중력이 예전보다 떨어짐.,인지 자극 루틴,"독서, 퍼즐, 끝말잇기, 숫자 기억하기 같은 활동을 하루 10분씩 실천해보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.",인지활동,상
90,운동을 시작하고 싶은데 의지가 안 나요 하루 대부분을 앉아서 보냄.,작은 목표 설정,하루 목표를 크게 잡기보다 일주일 단위의 작은 실천 목표를 세워보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,운동,중
91,새로운 걸 배우는 일이 줄었어요,두뇌 활동 시간 확보,매일 일정한 시간에 뇌를 쓰는 활동을 정해 습관처럼 이어가보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,인지활동,중
92,"요즘 같은 말을 반복하게 돼요 그리고 가끔 같은 질문을 반복하게 됨, 최근 일이 잘 기억나지 않아 걱정됨.",전문 상담 고려,깜빡하는 일이 잦아지고 일상생활에 불편이 생기면 전문 상담을 받아보는 것이 좋습니다. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,상담,상
93,인지 자극 활동이 필요할 것 같아요,새로운 취미 시도,익숙하지 않은 새로운 취미를 배우며 뇌에 자극을 주세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,인지활동,중
94,물건 둔 곳을 자주 잊어요 요즘 최근 일이 잘 기억나지 않아 걱정됨 편이고 물건 둔 곳을 자주 잊음도 함께 느껴집니다.,전문 상담 고려,깜빡하는 일이 잦아지고 일상생활에 불편이 생기면 전문 상담을 받아보는 것이 좋습니다. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,상담,상
95,잠드는 데 시간이 너무 오래 걸려요 자주 깨서 수면의 질이 낮음.,저녁 루틴 정비,취침 전 스마트폰 사용과 카페인 섭취를 줄여 수면의 질을 높여보세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.,수면,상
96,"운동 습관을 만들고 싶어요 그리고 체력 저하를 느낌, 운동 빈도가 매우 낮음.",작은 목표 설정,하루 목표를 크게 잡기보다 일주일 단위의 작은 실천 목표를 세워보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,운동,중
97,사람들과 어울리는 게 줄었어요,소규모 모임 참여,취미 모임이나 지역 커뮤니티처럼 작은 모임부터 참여를 시도해보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,사회활동,중
98,사람들과 어울리는 게 줄었어요 요즘 외출이 드문 편임 편이고 가족이나 친구와 대화 빈도가 적음도 함께 느껴집니다.,사회적 교류 늘리기,가족이나 친구와 주 2회 이상 짧게라도 대화할 시간을 만들어보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,사회활동,상
99,가족이나 친구와 연락이 뜸해요,사회적 교류 늘리기,가족이나 친구와 주 2회 이상 짧게라도 대화할 시간을 만들어보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,사회활동,상
100,외출 빈도가 너무 적어요,소규모 모임 참여,취미 모임이나 지역 커뮤니티처럼 작은 모임부터 참여를 시도해보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,사회활동,중
101,운동을 꾸준히 못 하고 있어요,작은 목표 설정,하루 목표를 크게 잡기보다 일주일 단위의 작은 실천 목표를 세워보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,운동,중
102,밤낮이 자꾸 바뀌어요,저녁 루틴 정비,취침 전 스마트폰 사용과 카페인 섭취를 줄여 수면의 질을 높여보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,수면,상
103,"잠을 자도 개운하지 않아요 그리고 평균 수면 시간이 짧음, 아침 피로가 큼.",낮 시간 활동 늘리기,낮에 가벼운 산책과 햇빛 노출을 늘리면 수면 리듬 회복에 도움이 될 수 있습니다. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,수면,중
104,운동 습관을 만들고 싶어요 요즘 운동 빈도가 매우 낮음 편이고 체력 저하를 느낌도 함께 느껴집니다.,작은 목표 설정,하루 목표를 크게 잡기보다 일주일 단위의 작은 실천 목표를 세워보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,운동,중
105,잠을 잘 못 자요,낮 시간 활동 늘리기,낮에 가벼운 산책과 햇빛 노출을 늘리면 수면 리듬 회복에 도움이 될 수 있습니다. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,수면,중
106,"집에만 있어서 답답해요 그리고 가족이나 친구와 대화 빈도가 적음, 사회적 교류가 부족함.",소규모 모임 참여,취미 모임이나 지역 커뮤니티처럼 작은 모임부터 참여를 시도해보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,사회활동,중
107,"기억력 훈련을 해보고 싶어요 그리고 집중력이 예전보다 떨어짐, 독서나 퍼즐 같은 활동을 거의 하지 않음.",두뇌 활동 시간 확보,매일 일정한 시간에 뇌를 쓰는 활동을 정해 습관처럼 이어가보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,인지활동,중
108,사회활동이 너무 적은 것 같아요,가벼운 외출 계획,"산책, 카페 방문, 근처 장보기처럼 부담이 적은 외출부터 시작해보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.",사회활동,중
109,"기억력이 예전보다 떨어진 것 같아요 그리고 최근 일이 잘 기억나지 않아 걱정됨, 가끔 같은 질문을 반복하게 됨.",전문 상담 고려,깜빡하는 일이 잦아지고 일상생활에 불편이 생기면 전문 상담을 받아보는 것이 좋습니다. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,상담,상
110,식사를 자주 거릅니다,식사 시간 고정,하루 세 끼 식사 시간을 일정하게 맞추는 것부터 시작해보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,식습관,상
111,"아침에 일어나도 피곤해요 그리고 자주 깨서 수면의 질이 낮음, 아침 피로가 큼.",낮 시간 활동 늘리기,낮에 가벼운 산책과 햇빛 노출을 늘리면 수면 리듬 회복에 도움이 될 수 있습니다. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,수면,중
112,"요즘 같은 말을 반복하게 돼요 그리고 최근 일이 잘 기억나지 않아 걱정됨, 가끔 같은 질문을 반복하게 됨.",전문 상담 고려,깜빡하는 일이 잦아지고 일상생활에 불편이 생기면 전문 상담을 받아보는 것이 좋습니다. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.,상담,상
113,자주 깜빡해요,전문 상담 고려,깜빡하는 일이 잦아지고 일상생활에 불편이 생기면 전문 상담을 받아보는 것이 좋습니다. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,상담,상
114,물도 잘 안 마셔요 요즘 인스턴트 섭취가 잦음 편이고 식사 시간이 불규칙함도 함께 느껴집니다.,간단한 건강 식단,"부담이 적은 샐러드, 계란, 두부, 생선, 견과류 같은 식품을 자주 활용해보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.",식습관,중
115,뇌를 좀 더 쓰는 활동이 필요할까요? 집중력이 예전보다 떨어짐.,두뇌 활동 시간 확보,매일 일정한 시간에 뇌를 쓰는 활동을 정해 습관처럼 이어가보세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.,인지활동,중
116,물도 잘 안 마셔요 식사 시간이 불규칙함.,간단한 건강 식단,"부담이 적은 샐러드, 계란, 두부, 생선, 견과류 같은 식품을 자주 활용해보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.",식습관,중
117,누군가와 대화하는 시간이 거의 없어요 요즘 사회적 교류가 부족함 편이고 가족이나 친구와 대화 빈도가 적음도 함께 느껴집니다.,소규모 모임 참여,취미 모임이나 지역 커뮤니티처럼 작은 모임부터 참여를 시도해보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,사회활동,중
118,"사람들과 어울리는 게 줄었어요 그리고 외출이 드문 편임, 사회적 교류가 부족함.",가벼운 외출 계획,"산책, 카페 방문, 근처 장보기처럼 부담이 적은 외출부터 시작해보세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.",사회활동,중
119,"새벽에 자꾸 깨요 그리고 아침 피로가 큼, 자주 깨서 수면의 질이 낮음.",수면 습관 회복,잠드는 시간과 기상 시간을 일정하게 맞추는 것부터 시작해보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,수면,상
120,기분이 자주 가라앉아요,대화 시간 만들기,가족이나 친구와 짧게라도 정기적으로 대화할 시간을 정해보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,사회활동,중
121,잠을 잘 못 자요,수면 습관 회복,잠드는 시간과 기상 시간을 일정하게 맞추는 것부터 시작해보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,수면,상
122,"잠드는 데 시간이 너무 오래 걸려요 그리고 자주 깨서 수면의 질이 낮음, 아침 피로가 큼.",저녁 루틴 정비,취침 전 스마트폰 사용과 카페인 섭취를 줄여 수면의 질을 높여보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,수면,상
123,체력이 너무 떨어진 것 같아요,작은 목표 설정,하루 목표를 크게 잡기보다 일주일 단위의 작은 실천 목표를 세워보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,운동,중
124,수면 시간이 너무 짧아요,저녁 루틴 정비,취침 전 스마트폰 사용과 카페인 섭취를 줄여 수면의 질을 높여보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,수면,상
125,아침에 일어나도 피곤해요 요즘 자주 깨서 수면의 질이 낮음 편이고 아침 피로가 큼도 함께 느껴집니다.,저녁 루틴 정비,취침 전 스마트폰 사용과 카페인 섭취를 줄여 수면의 질을 높여보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,수면,상
126,"밤낮이 자꾸 바뀌어요 그리고 평균 수면 시간이 짧음, 자주 깨서 수면의 질이 낮음.",수면 습관 회복,잠드는 시간과 기상 시간을 일정하게 맞추는 것부터 시작해보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,수면,상
127,대화할 사람이 거의 없어요 요즘 가족이나 친구와 대화 빈도가 적음 편이고 외출이 드문 편임도 함께 느껴집니다.,소규모 모임 참여,취미 모임이나 지역 커뮤니티처럼 작은 모임부터 참여를 시도해보세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.,사회활동,중
128,마음이 답답하고 스트레스가 많아요 요즘 스트레스 수준이 높은 편임 편이고 혼자 있는 시간이 많음도 함께 느껴집니다.,스트레스 기록하기,하루 중 스트레스가 높아지는 상황을 적어보고 줄일 수 있는 방법을 찾아보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,정서,중
129,"요즘 사소한 일에도 불안해요 그리고 혼자 있는 시간이 많음, 스트레스 수준이 높은 편임.",스트레스 기록하기,하루 중 스트레스가 높아지는 상황을 적어보고 줄일 수 있는 방법을 찾아보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,정서,중
130,대화할 사람이 거의 없어요 사회적 교류가 부족함.,가벼운 외출 계획,"산책, 카페 방문, 근처 장보기처럼 부담이 적은 외출부터 시작해보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.",사회활동,중
131,수면 시간이 너무 짧아요 자주 깨서 수면의 질이 낮음.,낮 시간 활동 늘리기,낮에 가벼운 산책과 햇빛 노출을 늘리면 수면 리듬 회복에 도움이 될 수 있습니다. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,수면,중
132,머리가 둔해진 느낌이에요,두뇌 활동 시간 확보,매일 일정한 시간에 뇌를 쓰는 활동을 정해 습관처럼 이어가보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,인지활동,중
133,독서나 퍼즐을 잘 안 하게 돼요 요즘 집중력이 예전보다 떨어짐 편이고 독서나 퍼즐 같은 활동을 거의 하지 않음도 함께 느껴집니다.,두뇌 활동 시간 확보,매일 일정한 시간에 뇌를 쓰는 활동을 정해 습관처럼 이어가보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,인지활동,중
134,"방금 하려던 일을 자꾸 잊어버려요 그리고 최근 일이 잘 기억나지 않아 걱정됨, 가끔 같은 질문을 반복하게 됨.",인지 자극 활동,"단어 연상, 숫자 기억하기, 독서, 퍼즐처럼 가벼운 인지 자극 활동을 시작해보세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.",인지활동,상
135,건강하게 식사하는 습관을 만들고 싶어요,식사 시간 고정,하루 세 끼 식사 시간을 일정하게 맞추는 것부터 시작해보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,식습관,상
136,치매 예방에 좋은 음식이 궁금해요 인스턴트 섭취가 잦음.,간단한 건강 식단,"부담이 적은 샐러드, 계란, 두부, 생선, 견과류 같은 식품을 자주 활용해보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.",식습관,중
137,기억력이 예전보다 떨어진 것 같아요,인지 자극 활동,"단어 연상, 숫자 기억하기, 독서, 퍼즐처럼 가벼운 인지 자극 활동을 시작해보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.",인지활동,상
138,집중력이 예전보다 떨어졌어요,인지 자극 루틴,"독서, 퍼즐, 끝말잇기, 숫자 기억하기 같은 활동을 하루 10분씩 실천해보세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.",인지활동,상
139,"수면 패턴이 너무 불규칙해요 그리고 자주 깨서 수면의 질이 낮음, 아침 피로가 큼.",낮 시간 활동 늘리기,낮에 가벼운 산책과 햇빛 노출을 늘리면 수면 리듬 회복에 도움이 될 수 있습니다. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,수면,중
140,몸을 좀 움직여야 할 것 같아요,걷기 루틴 시작,하루 20분 산책부터 시작해 신체활동을 조금씩 늘려보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,운동,상
141,외출 빈도가 너무 적어요 요즘 사회적 교류가 부족함 편이고 외출이 드문 편임도 함께 느껴집니다.,소규모 모임 참여,취미 모임이나 지역 커뮤니티처럼 작은 모임부터 참여를 시도해보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,사회활동,중
142,새벽에 자꾸 깨요,수면 습관 회복,잠드는 시간과 기상 시간을 일정하게 맞추는 것부터 시작해보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,수면,상
143,인지훈련 게임이 도움이 될까요? 요즘 집중력이 예전보다 떨어짐 편이고 새로운 자극이 줄어듦도 함께 느껴집니다.,인지 자극 루틴,"독서, 퍼즐, 끝말잇기, 숫자 기억하기 같은 활동을 하루 10분씩 실천해보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.",인지활동,상
144,물건 둔 곳을 자주 잊어요,전문 상담 고려,깜빡하는 일이 잦아지고 일상생활에 불편이 생기면 전문 상담을 받아보는 것이 좋습니다. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,상담,상
145,마음이 답답하고 스트레스가 많아요,대화 시간 만들기,가족이나 친구와 짧게라도 정기적으로 대화할 시간을 정해보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,사회활동,중
146,규칙적인 운동을 시작하고 싶어요,작은 목표 설정,하루 목표를 크게 잡기보다 일주일 단위의 작은 실천 목표를 세워보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,운동,중
147,입맛이 없어서 식사를 자주 빼먹어요,간단한 건강 식단,"부담이 적은 샐러드, 계란, 두부, 생선, 견과류 같은 식품을 자주 활용해보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.",식습관,중
148,자주 깜빡해요,인지 자극 활동,"단어 연상, 숫자 기억하기, 독서, 퍼즐처럼 가벼운 인지 자극 활동을 시작해보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.",인지활동,상
149,"건강하게 식사하는 습관을 만들고 싶어요 그리고 식사 시간이 불규칙함, 인스턴트 섭취가 잦음.",간단한 건강 식단,"부담이 적은 샐러드, 계란, 두부, 생선, 견과류 같은 식품을 자주 활용해보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.",식습관,중
150,"최근에 깜빡하는 일이 늘었어요 그리고 가끔 같은 질문을 반복하게 됨, 물건 둔 곳을 자주 잊음.",인지 자극 활동,"단어 연상, 숫자 기억하기, 독서, 퍼즐처럼 가벼운 인지 자극 활동을 시작해보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.",인지활동,상
151,"사람 만나는 게 귀찮아요 그리고 외출이 드문 편임, 사회적 교류가 부족함.",소규모 모임 참여,취미 모임이나 지역 커뮤니티처럼 작은 모임부터 참여를 시도해보세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.,사회활동,중
152,우울한 기분이 오래가요 요즘 스트레스 수준이 높은 편임 편이고 기분이 자주 가라앉음도 함께 느껴집니다.,스트레스 기록하기,하루 중 스트레스가 높아지는 상황을 적어보고 줄일 수 있는 방법을 찾아보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,정서,중
153,규칙적인 운동을 시작하고 싶어요,작은 목표 설정,하루 목표를 크게 잡기보다 일주일 단위의 작은 실천 목표를 세워보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,운동,중
154,물도 잘 안 마셔요 인스턴트 섭취가 잦음.,식사 시간 고정,하루 세 끼 식사 시간을 일정하게 맞추는 것부터 시작해보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,식습관,상
155,스트레스를 어떻게 줄여야 할지 모르겠어요,대화 시간 만들기,가족이나 친구와 짧게라도 정기적으로 대화할 시간을 정해보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,사회활동,중
156,스트레스를 어떻게 줄여야 할지 모르겠어요,정서 회복 루틴,"짧은 산책, 호흡 운동, 감사일기처럼 부담이 적은 감정 관리 루틴을 실천해보세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.",정서,상
157,혼자 있는 시간이 너무 많아요,사회적 교류 늘리기,가족이나 친구와 주 2회 이상 짧게라도 대화할 시간을 만들어보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,사회활동,상
158,규칙적인 운동을 시작하고 싶어요 요즘 운동 빈도가 매우 낮음 편이고 하루 대부분을 앉아서 보냄도 함께 느껴집니다.,걷기 루틴 시작,하루 20분 산책부터 시작해 신체활동을 조금씩 늘려보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,운동,상
159,사람들과 어울리는 게 줄었어요,가벼운 외출 계획,"산책, 카페 방문, 근처 장보기처럼 부담이 적은 외출부터 시작해보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.",사회활동,중
160,활동량이 너무 적어요 요즘 체력 저하를 느낌 편이고 운동 빈도가 매우 낮음도 함께 느껴집니다.,작은 목표 설정,하루 목표를 크게 잡기보다 일주일 단위의 작은 실천 목표를 세워보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,운동,중
161,"입맛이 없어서 식사를 자주 빼먹어요 그리고 수분 섭취가 부족함, 인스턴트 섭취가 잦음.",균형 잡힌 식단,"채소, 단백질, 수분 섭취를 늘리고 가공식품 비중을 줄여보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.",식습관,상
162,"인지훈련 게임이 도움이 될까요? 그리고 집중력이 예전보다 떨어짐, 새로운 자극이 줄어듦.",새로운 취미 시도,익숙하지 않은 새로운 취미를 배우며 뇌에 자극을 주세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,인지활동,중
163,"요즘 같은 말을 반복하게 돼요 그리고 최근 일이 잘 기억나지 않아 걱정됨, 물건 둔 곳을 자주 잊음.",인지 자극 활동,"단어 연상, 숫자 기억하기, 독서, 퍼즐처럼 가벼운 인지 자극 활동을 시작해보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.",인지활동,상
164,"머리가 둔해진 느낌이에요 그리고 새로운 자극이 줄어듦, 집중력이 예전보다 떨어짐.",인지 자극 루틴,"독서, 퍼즐, 끝말잇기, 숫자 기억하기 같은 활동을 하루 10분씩 실천해보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.",인지활동,상
165,"건강하게 식사하는 습관을 만들고 싶어요 그리고 식사 시간이 불규칙함, 인스턴트 섭취가 잦음.",균형 잡힌 식단,"채소, 단백질, 수분 섭취를 늘리고 가공식품 비중을 줄여보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.",식습관,상
166,집중력이 예전보다 떨어졌어요 새로운 자극이 줄어듦.,인지 자극 루틴,"독서, 퍼즐, 끝말잇기, 숫자 기억하기 같은 활동을 하루 10분씩 실천해보세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.",인지활동,상
