id,user_text,recommendation_title,recommendation_text,category,priority
167,"기억력이 예전보다 떨어진 것 같아요 그리고 가끔 같은 질문을 반복하게 됨, 물건 둔 곳을 자주 잊음.",전문 상담 고려,깜빡하는 일이 잦아지고 일상생활에 불편이 생기면 전문 상담을 받아보는 것이 좋습니다. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,상담,상
168,집중력이 예전보다 떨어졌어요 집중력이 예전보다 떨어짐.,두뇌 활동 시간 확보,매일 일정한 시간에 뇌를 쓰는 활동을 정해 습관처럼 이어가보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,인지활동,중
169,수면 시간이 너무 짧아요,낮 시간 활동 늘리기,낮에 가벼운 산책과 햇빛 노출을 늘리면 수면 리듬 회복에 도움이 될 수 있습니다. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,수면,중
170,약속을 자주 잊어버려서 걱정돼요,전문 상담 고려,깜빡하는 일이 잦아지고 일상생활에 불편이 생기면 전문 상담을 받아보는 것이 좋습니다. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,상담,상
171,혼자 있는 시간이 많아 외로워요 혼자 있는 시간이 많음.,대화 시간 만들기,가족이나 친구와 짧게라도 정기적으로 대화할 시간을 정해보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,사회활동,중
172,집중력이 예전보다 떨어졌어요 새로운 자극이 줄어듦.,새로운 취미 시도,익숙하지 않은 새로운 취미를 배우며 뇌에 자극을 주세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,인지활동,중
173,가끔 대화 내용을 놓쳐요 요즘 물건 둔 곳을 자주 잊음 편이고 최근 일이 잘 기억나지 않아 걱정됨도 함께 느껴집니다.,전문 상담 고려,깜빡하는 일이 잦아지고 일상생활에 불편이 생기면 전문 상담을 받아보는 것이 좋습니다. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,상담,상
174,운동 습관을 만들고 싶어요 요즘 하루 대부분을 앉아서 보냄 편이고 운동 빈도가 매우 낮음도 함께 느껴집니다.,걷기 루틴 시작,하루 20분 산책부터 시작해 신체활동을 조금씩 늘려보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,운동,상
175,건강하게 식사하는 습관을 만들고 싶어요 수분 섭취가 부족함.,균형 잡힌 식단,"채소, 단백질, 수분 섭취를 늘리고 가공식품 비중을 줄여보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.",식습관,상
176,운동을 꾸준히 못 하고 있어요 하루 대부분을 앉아서 보냄.,가벼운 스트레칭,아침과 저녁에 10분 정도 전신 스트레칭을 실천해보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,운동,중
177,끼니 시간이 너무 불규칙해요,간단한 건강 식단,"부담이 적은 샐러드, 계란, 두부, 생선, 견과류 같은 식품을 자주 활용해보세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.",식습관,중
178,"최근에 깜빡하는 일이 늘었어요 그리고 물건 둔 곳을 자주 잊음, 가끔 같은 질문을 반복하게 됨.",기억력 관찰 일지,최근 기억력 변화를 간단한 메모나 일기로 기록해보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,인지관찰,상
179,머리를 쓰는 활동을 거의 안 해요 새로운 자극이 줄어듦.,인지 자극 루틴,"독서, 퍼즐, 끝말잇기, 숫자 기억하기 같은 활동을 하루 10분씩 실천해보세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.",인지활동,상
180,자주 깜빡해요 가끔 같은 질문을 반복하게 됨.,기억력 관찰 일지,최근 기억력 변화를 간단한 메모나 일기로 기록해보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,인지관찰,상
181,"물도 잘 안 마셔요 그리고 인스턴트 섭취가 잦음, 수분 섭취가 부족함.",간단한 건강 식단,"부담이 적은 샐러드, 계란, 두부, 생선, 견과류 같은 식품을 자주 활용해보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.",식습관,중
182,사회활동이 너무 적은 것 같아요 요즘 가족이나 친구와 대화 빈도가 적음 편이고 사회적 교류가 부족함도 함께 느껴집니다.,가벼운 외출 계획,"산책, 카페 방문, 근처 장보기처럼 부담이 적은 외출부터 시작해보세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.",사회활동,중
183,가족이나 친구와 연락이 뜸해요 요즘 가족이나 친구와 대화 빈도가 적음 편이고 사회적 교류가 부족함도 함께 느껴집니다.,가벼운 외출 계획,"산책, 카페 방문, 근처 장보기처럼 부담이 적은 외출부터 시작해보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.",사회활동,중
184,새벽에 자꾸 깨요,저녁 루틴 정비,취침 전 스마트폰 사용과 카페인 섭취를 줄여 수면의 질을 높여보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,수면,상
185,요즘 잠이 얕아진 것 같아요 아침 피로가 큼.,낮 시간 활동 늘리기,낮에 가벼운 산책과 햇빛 노출을 늘리면 수면 리듬 회복에 도움이 될 수 있습니다. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,수면,중
186,운동을 시작하고 싶은데 의지가 안 나요 요즘 하루 대부분을 앉아서 보냄 편이고 체력 저하를 느낌도 함께 느껴집니다.,가벼운 스트레칭,아침과 저녁에 10분 정도 전신 스트레칭을 실천해보세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.,운동,중
187,요즘 사소한 일에도 불안해요 스트레스 수준이 높은 편임.,스트레스 기록하기,하루 중 스트레스가 높아지는 상황을 적어보고 줄일 수 있는 방법을 찾아보세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.,정서,중
188,"운동 습관을 만들고 싶어요 그리고 체력 저하를 느낌, 하루 대부분을 앉아서 보냄.",가벼운 스트레칭,아침과 저녁에 10분 정도 전신 스트레칭을 실천해보세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.,운동,중
189,"체력이 너무 떨어진 것 같아요 그리고 운동 빈도가 매우 낮음, 체력 저하를 느낌.",가벼운 스트레칭,아침과 저녁에 10분 정도 전신 스트레칭을 실천해보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,운동,중
190,사람 만나는 게 귀찮아요,사회적 교류 늘리기,가족이나 친구와 주 2회 이상 짧게라도 대화할 시간을 만들어보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,사회활동,상
191,밖에 잘 안 나가요 가족이나 친구와 대화 빈도가 적음.,사회적 교류 늘리기,가족이나 친구와 주 2회 이상 짧게라도 대화할 시간을 만들어보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,사회활동,상
192,"기억력이 예전보다 떨어진 것 같아요 그리고 가끔 같은 질문을 반복하게 됨, 최근 일이 잘 기억나지 않아 걱정됨.",인지 자극 활동,"단어 연상, 숫자 기억하기, 독서, 퍼즐처럼 가벼운 인지 자극 활동을 시작해보세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.",인지활동,상
193,활동량이 너무 적어요 요즘 체력 저하를 느낌 편이고 운동 빈도가 매우 낮음도 함께 느껴집니다.,가벼운 스트레칭,아침과 저녁에 10분 정도 전신 스트레칭을 실천해보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,운동,중
194,"하루 종일 앉아만 있어요 그리고 하루 대부분을 앉아서 보냄, 운동 빈도가 매우 낮음.",작은 목표 설정,하루 목표를 크게 잡기보다 일주일 단위의 작은 실천 목표를 세워보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,운동,중
195,방금 하려던 일을 자꾸 잊어버려요,기억력 관찰 일지,최근 기억력 변화를 간단한 메모나 일기로 기록해보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,인지관찰,상
196,새벽에 자꾸 깨요,수면 습관 회복,잠드는 시간과 기상 시간을 일정하게 맞추는 것부터 시작해보세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.,수면,상
197,집중력이 예전보다 떨어졌어요 요즘 집중력이 예전보다 떨어짐 편이고 새로운 자극이 줄어듦도 함께 느껴집니다.,새로운 취미 시도,익숙하지 않은 새로운 취미를 배우며 뇌에 자극을 주세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,인지활동,중
198,수면 시간이 너무 짧아요 요즘 아침 피로가 큼 편이고 자주 깨서 수면의 질이 낮음도 함께 느껴집니다.,수면 습관 회복,잠드는 시간과 기상 시간을 일정하게 맞추는 것부터 시작해보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,수면,상
199,방금 하려던 일을 자꾸 잊어버려요 최근 일이 잘 기억나지 않아 걱정됨.,기억력 관찰 일지,최근 기억력 변화를 간단한 메모나 일기로 기록해보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,인지관찰,상
200,"머리가 둔해진 느낌이에요 그리고 새로운 자극이 줄어듦, 집중력이 예전보다 떨어짐.",두뇌 활동 시간 확보,매일 일정한 시간에 뇌를 쓰는 활동을 정해 습관처럼 이어가보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,인지활동,중
201,"식사를 자주 거릅니다 그리고 인스턴트 섭취가 잦음, 수분 섭취가 부족함.",간단한 건강 식단,"부담이 적은 샐러드, 계란, 두부, 생선, 견과류 같은 식품을 자주 활용해보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.",식습관,중
202,"사람들과 어울리는 게 줄었어요 그리고 가족이나 친구와 대화 빈도가 적음, 사회적 교류가 부족함.",소규모 모임 참여,취미 모임이나 지역 커뮤니티처럼 작은 모임부터 참여를 시도해보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,사회활동,중
203,물건 둔 곳을 자주 잊어요 요즘 물건 둔 곳을 자주 잊음 편이고 가끔 같은 질문을 반복하게 됨도 함께 느껴집니다.,전문 상담 고려,깜빡하는 일이 잦아지고 일상생활에 불편이 생기면 전문 상담을 받아보는 것이 좋습니다. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,상담,상
204,독서나 퍼즐을 잘 안 하게 돼요 새로운 자극이 줄어듦.,새로운 취미 시도,익숙하지 않은 새로운 취미를 배우며 뇌에 자극을 주세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,인지활동,중
205,"과식을 자주 해요 그리고 인스턴트 섭취가 잦음, 식사 시간이 불규칙함.",균형 잡힌 식단,"채소, 단백질, 수분 섭취를 늘리고 가공식품 비중을 줄여보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.",식습관,상
206,"물건 둔 곳을 자주 잊어요 그리고 가끔 같은 질문을 반복하게 됨, 물건 둔 곳을 자주 잊음.",전문 상담 고려,깜빡하는 일이 잦아지고 일상생활에 불편이 생기면 전문 상담을 받아보는 것이 좋습니다. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,상담,상
207,"운동을 시작하고 싶은데 의지가 안 나요 그리고 체력 저하를 느낌, 하루 대부분을 앉아서 보냄.",가벼운 스트레칭,아침과 저녁에 10분 정도 전신 스트레칭을 실천해보세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.,운동,중
208,독서나 퍼즐을 잘 안 하게 돼요 요즘 새로운 자극이 줄어듦 편이고 독서나 퍼즐 같은 활동을 거의 하지 않음도 함께 느껴집니다.,두뇌 활동 시간 확보,매일 일정한 시간에 뇌를 쓰는 활동을 정해 습관처럼 이어가보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,인지활동,중
209,"새로운 걸 배우는 일이 줄었어요 그리고 독서나 퍼즐 같은 활동을 거의 하지 않음, 집중력이 예전보다 떨어짐.",두뇌 활동 시간 확보,매일 일정한 시간에 뇌를 쓰는 활동을 정해 습관처럼 이어가보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,인지활동,중
210,감정 기복이 심한 것 같아요 요즘 기분이 자주 가라앉음 편이고 혼자 있는 시간이 많음도 함께 느껴집니다.,정서 회복 루틴,"짧은 산책, 호흡 운동, 감사일기처럼 부담이 적은 감정 관리 루틴을 실천해보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.",정서,상
211,"자주 깨서 푹 못 자요 그리고 아침 피로가 큼, 평균 수면 시간이 짧음.",저녁 루틴 정비,취침 전 스마트폰 사용과 카페인 섭취를 줄여 수면의 질을 높여보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,수면,상
212,"몸을 좀 움직여야 할 것 같아요 그리고 운동 빈도가 매우 낮음, 하루 대부분을 앉아서 보냄.",가벼운 스트레칭,아침과 저녁에 10분 정도 전신 스트레칭을 실천해보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,운동,중
213,활동량이 너무 적어요 하루 대부분을 앉아서 보냄.,가벼운 스트레칭,아침과 저녁에 10분 정도 전신 스트레칭을 실천해보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,운동,중
214,"요즘 잠이 얕아진 것 같아요 그리고 자주 깨서 수면의 질이 낮음, 아침 피로가 큼.",낮 시간 활동 늘리기,낮에 가벼운 산책과 햇빛 노출을 늘리면 수면 리듬 회복에 도움이 될 수 있습니다. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,수면,중
215,입맛이 없어서 식사를 자주 빼먹어요 수분 섭취가 부족함.,균형 잡힌 식단,"채소, 단백질, 수분 섭취를 늘리고 가공식품 비중을 줄여보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.",식습관,상
216,집에만 있어서 답답해요 가족이나 친구와 대화 빈도가 적음.,사회적 교류 늘리기,가족이나 친구와 주 2회 이상 짧게라도 대화할 시간을 만들어보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,사회활동,상
217,아침에 일어나도 피곤해요,저녁 루틴 정비,취침 전 스마트폰 사용과 카페인 섭취를 줄여 수면의 질을 높여보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,수면,상
218,운동을 꾸준히 못 하고 있어요 요즘 체력 저하를 느낌 편이고 하루 대부분을 앉아서 보냄도 함께 느껴집니다.,가벼운 스트레칭,아침과 저녁에 10분 정도 전신 스트레칭을 실천해보세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.,운동,중
219,뇌를 좀 더 쓰는 활동이 필요할까요? 요즘 독서나 퍼즐 같은 활동을 거의 하지 않음 편이고 집중력이 예전보다 떨어짐도 함께 느껴집니다.,두뇌 활동 시간 확보,매일 일정한 시간에 뇌를 쓰는 활동을 정해 습관처럼 이어가보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,인지활동,중
220,인지 자극 활동이 필요할 것 같아요,새로운 취미 시도,익숙하지 않은 새로운 취미를 배우며 뇌에 자극을 주세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.,인지활동,중
221,물건 둔 곳을 자주 잊어요 요즘 가끔 같은 질문을 반복하게 됨 편이고 최근 일이 잘 기억나지 않아 걱정됨도 함께 느껴집니다.,기억력 관찰 일지,최근 기억력 변화를 간단한 메모나 일기로 기록해보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,인지관찰,상
222,감정 기복이 심한 것 같아요,스트레스 기록하기,하루 중 스트레스가 높아지는 상황을 적어보고 줄일 수 있는 방법을 찾아보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,정서,중
223,"규칙적인 운동을 시작하고 싶어요 그리고 운동 빈도가 매우 낮음, 하루 대부분을 앉아서 보냄.",걷기 루틴 시작,하루 20분 산책부터 시작해 신체활동을 조금씩 늘려보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,운동,상
224,가족이나 친구와 연락이 뜸해요 요즘 가족이나 친구와 대화 빈도가 적음 편이고 사회적 교류가 부족함도 함께 느껴집니다.,소규모 모임 참여,취미 모임이나 지역 커뮤니티처럼 작은 모임부터 참여를 시도해보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,사회활동,중
225,인스턴트 음식을 자주 먹어요 수분 섭취가 부족함.,균형 잡힌 식단,"채소, 단백질, 수분 섭취를 늘리고 가공식품 비중을 줄여보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.",식습관,상
226,운동 습관을 만들고 싶어요 요즘 운동 빈도가 매우 낮음 편이고 하루 대부분을 앉아서 보냄도 함께 느껴집니다.,작은 목표 설정,하루 목표를 크게 잡기보다 일주일 단위의 작은 실천 목표를 세워보세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.,운동,중
227,약속을 자주 잊어버려서 걱정돼요 최근 일이 잘 기억나지 않아 걱정됨.,기억력 관찰 일지,최근 기억력 변화를 간단한 메모나 일기로 기록해보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,인지관찰,상
228,마음이 답답하고 스트레스가 많아요 요즘 혼자 있는 시간이 많음 편이고 기분이 자주 가라앉음도 함께 느껴집니다.,대화 시간 만들기,가족이나 친구와 짧게라도 정기적으로 대화할 시간을 정해보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,사회활동,중
229,"요즘 밥을 제대로 못 챙겨 먹어요 그리고 식사 시간이 불규칙함, 수분 섭취가 부족함.",간단한 건강 식단,"부담이 적은 샐러드, 계란, 두부, 생선, 견과류 같은 식품을 자주 활용해보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.",식습관,중
230,가족이나 친구와 연락이 뜸해요 사회적 교류가 부족함.,소규모 모임 참여,취미 모임이나 지역 커뮤니티처럼 작은 모임부터 참여를 시도해보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,사회활동,중
231,"인지훈련 게임이 도움이 될까요? 그리고 새로운 자극이 줄어듦, 독서나 퍼즐 같은 활동을 거의 하지 않음.",인지 자극 루틴,"독서, 퍼즐, 끝말잇기, 숫자 기억하기 같은 활동을 하루 10분씩 실천해보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.",인지활동,상
232,새로운 걸 배우는 일이 줄었어요 독서나 퍼즐 같은 활동을 거의 하지 않음.,인지 자극 루틴,"독서, 퍼즐, 끝말잇기, 숫자 기억하기 같은 활동을 하루 10분씩 실천해보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.",인지활동,상
233,최근 일이 잘 기억나지 않아요,기억력 관찰 일지,최근 기억력 변화를 간단한 메모나 일기로 기록해보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,인지관찰,상
234,머리가 둔해진 느낌이에요 집중력이 예전보다 떨어짐.,새로운 취미 시도,익숙하지 않은 새로운 취미를 배우며 뇌에 자극을 주세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.,인지활동,중
235,"누군가와 대화하는 시간이 거의 없어요 그리고 외출이 드문 편임, 사회적 교류가 부족함.",가벼운 외출 계획,"산책, 카페 방문, 근처 장보기처럼 부담이 적은 외출부터 시작해보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.",사회활동,중
236,가끔 대화 내용을 놓쳐요,기억력 관찰 일지,최근 기억력 변화를 간단한 메모나 일기로 기록해보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,인지관찰,상
237,"치매 예방에 좋은 음식이 궁금해요 그리고 인스턴트 섭취가 잦음, 식사 시간이 불규칙함.",간단한 건강 식단,"부담이 적은 샐러드, 계란, 두부, 생선, 견과류 같은 식품을 자주 활용해보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.",식습관,중
238,사람들과 어울리는 게 줄었어요 요즘 가족이나 친구와 대화 빈도가 적음 편이고 외출이 드문 편임도 함께 느껴집니다.,가벼운 외출 계획,"산책, 카페 방문, 근처 장보기처럼 부담이 적은 외출부터 시작해보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.",사회활동,중
239,건강하게 식사하는 습관을 만들고 싶어요,간단한 건강 식단,"부담이 적은 샐러드, 계란, 두부, 생선, 견과류 같은 식품을 자주 활용해보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.",식습관,중
240,최근 일이 잘 기억나지 않아요 요즘 물건 둔 곳을 자주 잊음 편이고 최근 일이 잘 기억나지 않아 걱정됨도 함께 느껴집니다.,전문 상담 고려,깜빡하는 일이 잦아지고 일상생활에 불편이 생기면 전문 상담을 받아보는 것이 좋습니다. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,상담,상
241,요즘 잠이 얕아진 것 같아요 아침 피로가 큼.,낮 시간 활동 늘리기,낮에 가벼운 산책과 햇빛 노출을 늘리면 수면 리듬 회복에 도움이 될 수 있습니다. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,수면,중
242,기억력 훈련을 해보고 싶어요 요즘 새로운 자극이 줄어듦 편이고 독서나 퍼즐 같은 활동을 거의 하지 않음도 함께 느껴집니다.,새로운 취미 시도,익숙하지 않은 새로운 취미를 배우며 뇌에 자극을 주세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,인지활동,중
243,집에만 있어서 답답해요 사회적 교류가 부족함.,소규모 모임 참여,취미 모임이나 지역 커뮤니티처럼 작은 모임부터 참여를 시도해보세요. 가족이나 주변 사람과 함께 실천하면 지속하기가 더 쉬워집니다.,사회활동,중
244,새벽에 자꾸 깨요,낮 시간 활동 늘리기,낮에 가벼운 산책과 햇빛 노출을 늘리면 수면 리듬 회복에 도움이 될 수 있습니다. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,수면,중
245,치매 예방에 좋은 음식이 궁금해요 인스턴트 섭취가 잦음.,간단한 건강 식단,"부담이 적은 샐러드, 계란, 두부, 생선, 견과류 같은 식품을 자주 활용해보세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.",식습관,중
246,물건 둔 곳을 자주 잊어요 가끔 같은 질문을 반복하게 됨.,기억력 관찰 일지,최근 기억력 변화를 간단한 메모나 일기로 기록해보세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.,인지관찰,상
247,집에만 있어서 답답해요 요즘 가족이나 친구와 대화 빈도가 적음 편이고 사회적 교류가 부족함도 함께 느껴집니다.,가벼운 외출 계획,"산책, 카페 방문, 근처 장보기처럼 부담이 적은 외출부터 시작해보세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.",사회활동,중
